no,property-name,price,house-type,area,bedrooms,bathrooms,receptions,location,county,postal-code,
39,Old Battersea House,9975000,House,10100,10,10,10, Battersea,London,SW11 3LD,
40,Kersley Street,1850000,House,1910,5,5,5,,London,SW11 4PT,
41,Battersea Bridge Road,525000,New development,590,1,1,1,,London,SW11 3AU,
42,Larkhall Rise,2200000,House,2239,4,4,4,,London,SW4 6HS,
43,Carlisle Mansions,1999999,Flat / Apartment,1608,3,3,3, Victoria,London,SW1P 1EZ,
44,Park Close,725000,House,884,3,3,3,South Hackney,London,E9 7LF,
45,Century Court,1750000,Flat / Apartment,1232,2,2,2,Grove End Road,London,NW8 9LD,
46,Eaton Square,5250000,Flat / Apartment,2299,3,3,3,,London,SW1W 9DF,
47,Hornsey Town Hall,1250000,New development,1307,3,3,3,Crouch End,London,N8 9JJ,
48,"The oTTo, Hackney",490000,New development,570,1,1,1, Downs Road,Clapton,E5 8DS,
49,Francis House,3350000,Penthouse,2185,3,3,3,Coleridge Gardens,London,SW10 0RP,
50,Wendle Square,1000000,Flat / Apartment,1228,3,3,3,Battersea,London,SW11 4SS,
51,Rectory Road,2350000,House,2511,4,4,4,Barnes,London,SW13 0DX,
52,Thames Quay,2095000,Flat / Apartment,1528,3,3,3,Chelsea Harbour,London,SW10 0UY,
53,Prince Edward Mansions,1250000,Flat / Apartment,811,2,2,2, Bayswater,London,W2 4WA,
54,Harbut Road,735000,Flat / Apartment,969,2,2,2,,London,SW11 2RE,
55,Chasefield Road,875000,House,1132,4,4,4,Tooting,London,SW17 8LW,
56,Fernwood Avenue,1250000,House,2498,6,6,6,,London,SW16 1RD,
57,Havilland Mews,595000,Flat / Apartment,643,2,2,2,,London,W12 8BG,
58,Gatehill Road,2595000,House,4858,6,6,6,Northwood,Middlesex,HA6 3QF,
59,St. Davids Mews,820000,House,974,3,3,3,Morgan Street,London,E3 5AZ,
60,Chester Close South,830000,Flat / Apartment,850,2,2,2,Regent's Park,London,NW1 4JG,
61,Lady Somerset Road,500000,Flat / Apartment,458,1,1,1,Kentish Town,London,NW5 1TX,
62,Nicholas Way,2500000,House,5999,7,7,7,Northwood,Middlesex,HA6 2TR,
63,Queens Grove,7500000,House,3851,6,6,6,St John's Wood,London,NW8 6EN,
64,Enmore Road,749950,Flat / Apartment,1382,3,3,3,Putney,London,SW15 6LL,
65,The Chase,480000,Flat / Apartment,448,1,1,1,,London,SW4 0NP,
66,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB,
67,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX,
68,Ternary Place,650000,New development,1023,2,2,2, Ealing,London,W5 3HJ,
69,Lysias Road,1300000,House,1890,5,5,5,,London,SW12 8BW,
70,Prince Henry Road,625000,House,1348,4,4,4,Kidbrooke,London,SE7 8PP,
71,Kirby Street,625000,Flat / Apartment,540,1,1,1,Clerkenwell,London,EC1N 8TE,
72,Great Peter Street,1100000,New development,791,2,2,2,Westminster,London,SW1P 2BN,
73,Walton Street,5950000,House,2646,4,4,4,,London,SW3 1RE,
74,Chatto Road,1325000,House,1375,4,4,4,,London,SW11 6LL,
75,Redcliffe Square,1250000,Flat / Apartment,1068,2,2,2,,London,SW10 9JY,
76,Elm Park Lane,2300000,House,1119,3,3,3,,London,SW3 6DB,
77,Fassett Square,1500000,House,1811,4,4,4,Hackney,London,E8 1DQ,
78,Haverhill Road,1350000,House,1603,5,5,5,,London,SW12 0HD,
79,Duckman Tower,799995,Flat / Apartment,942,3,3,3, Canary Wharf,London,E14 9BL,
80,St. Stephens Crescent,795000,Flat / Apartment,495,1,1,1,,London,W2 5QT,
81,Ackmar Road,2595000,House,2120,5,5,5,Fulham,London,SW6 4UP,
82,Romney House,820000,Flat / Apartment,631,2,2,2, Westminster,London,SW1P 3DS,
83,Sycamore Gardens,680000,Flat / Apartment,705,2,2,2,,London,W6 0AP,
84,Quarrendon Street,2300000,House,1956,3,3,3,,London,SW6 3SU,
85,Meredyth Road,2300000,House,2083,5,5,5,Barnes,London,SW13 0DS,
86,Baronsmead Road,4000000,House,3714,5,5,5,Barnes,London,SW13 9RR,
87,Sisters Avenue,500000,Flat / Apartment,516,2,2,2,,London,SW11 5SQ,
88,Warrington Gardens,1275000,Flat / Apartment,1185,3,3,3,Little Venice,London,W9 2PZ,
89,Pembroke Villas,4500000,House,2972,3,3,3,,London,W8 6PG,
90,North End Road,1750000,House,2125,4,4,4,Hampstead,London,NW11 7SY,
91,Heath Hurst Road,2600000,House,2350,4,4,4,Hampstead,London,NW3 2RU,
92,Tercelet Terrace,3450000,House,2354,4,4,4, Hampstead,London,NW3 7LW,
93,Kersley Street,2350000,House,2183,5,5,5,,London,SW11 4PR,
94,Buckingham Gate,2375000,Flat / Apartment,1218,2,2,2,St. James's,London,SW1E 6LB,
95,Camelot Close,1995000,House,1841,5,5,5,Wimbledon,London,SW19 7EA,
96,Clarendon Close,1000000,House,1154,4,4,4,South Hackney,London,E9 7BY,
97,Klea Avenue,1795000,House,2314,5,5,5,,London,SW4 9HG,
98,Manor Place Depot,687500,New development,1178,3,3,3,,London,SE17 3BD,
99,Molyneux Street,2450000,House,1483,3,3,3,,London,W1H 5HW,
100,Gatti House,3500000,Flat / Apartment,1770,2,2,2,410 Strand,London,WC2R 0NR,
101,Thornhill Crescent,850000,Flat / Apartment,773,2,2,2,Barnsbury,London,N1 1BJ,
102,Belsize Square,780000,Flat / Apartment,654,2,2,2,,London,NW3 4HL,
103,Milton Road,900000,House,1081,3,3,3,,London,SW14 8JP,
104,Drakefield Road,2500000,House,3986,6,6,6,,London,SW17 8RR,
105,Chiswick High Road,575000,Flat / Apartment,773,2,2,2,Chiswick,London,W4 4AG,
106,Bewick Street,1250000,House,1708,5,5,5,,London,SW8 3TA,
107,Overstrand Mansions,1575000,Flat / Apartment,1580,3,3,3,Prince of Wales Drive,London,SW11 4EZ,
108,Somerset Road,4750000,House,6602,6,6,6,Wimbledon,London,SW19 5JZ,
109,Burleigh Place,1175000,House,1909,4,4,4,Putney,London,SW15 6ES,
110,Freshford Street,1200000,House,1771,4,4,4,,London,SW18 3TF,
111,Ellerton Road,1700000,House,2374,5,5,5,Wandsworth,London,SW18 3NH,
112,Ladbroke Crescent & Basement,1000000,House,2125,2,2,2,131 Ladbroke Grove,London,W11 1PS,
113,Barts Square,1635000,New development,903,2,2,2, City Of London,London,EC1A 9DS,
114,Gleneldon Road,1850000,House,3753,6,6,6,,London,SW16 2BZ,
115,Windsor Court,2400000,Flat / Apartment,1736,4,4,4, Bayswater,London,W2 4SN,
116,Southbank Place,1200000,New development,590,1,1,1, South Bank,London,SE1 7NJ,
117,The oTTo,785000,New development,1173,2,2,2, The Otto Buildings,Downs Road,E5 8DS,
118,Haldane Road,1250000,House,1298,2,2,2,,London,SW6 7EU,
119,Chipstead Street,2300000,House,1912,3,3,3, Fulham,London,SW6 3SS,
120,Sydney House,1300000,Flat / Apartment,1465,3,3,3,Woodstock Road,London,W4 1DP,
121,Waldemar Avenue,1750000,House,1580,4,4,4,Fulham,London,SW6 5NA,
122,Newstead Way,1495000,House,2300,4,4,4,,London,SW19 5HR,
123,Melody Road,1625000,House,1953,4,4,4,,London,SW18 2QF,
124,Hasker Street,3150000,House,1449,3,3,3,,London,SW3 2LE,
125,Fairfax Mews,1395000,House,1902,5,5,5,Putney,London,SW15 6FF,
126,Fairacres,1385000,Flat / Apartment,2056,3,3,3, Putney,London,SW15 5LX,
127,Clapham Common South Side,800000,Flat / Apartment,922,2,2,2,,London,SW4 9DX,
128,Ormond Yard,3695000,House,2316,4,4,4,St James's,London,SW1Y 6JT,
129,Cadogan Square,2200000,Flat / Apartment,1195,2,2,2,,London,SW1X 0JL,
130,Cadogan Square,1175000,Flat / Apartment,687,2,2,2,,London,SW1X 0JL,
131,Aubrey Walk,9500000,House,4815,5,5,5,,London,W8 7JG,
132,Oakwood Court,3100000,Flat / Apartment,2470,4,4,4,Holland Park,London,W14 8JS,
133,Barnsbury Park,5500000,House,3674,4,4,4,Islington,London,N1 1HQ,
134,Fieldsway House,925000,Flat / Apartment,1012,3,3,3, Highbury,London,N5 1QA,
135,Long & Waterson Apartments,550000,Penthouse,414,1,1,1, Hackney,London,E2 8HN,
136,Mare Street,260000,Studio,381,0,0,0,Hackney,London,E8 3RH,
137,Reliance Wharf,550000,Flat / Apartment,547,1,1,1,Hertford Road,London,N1 5ET,
138,Gayton Road,2400000,House,2202,5,5,5,Hampstead,London,NW3 1TU,
139,Ram Quarter,580000,New development,460,1,1,1, Wandsworth,London,SW18 1TH,
140,Grimston Road,2300000,House,2785,5,5,5,Fulham,London,SW6 3QR,
141,Balham Grove,1200000,House,1270,3,3,3,,London,SW12 8BE,
142,Fernside Road,1500000,House,1934,5,5,5,,London,SW12 8LH,
143,Walsingham Place,2250000,House,2605,5,5,5,,London,SW4 9RR,
144,Englewood Road,1500000,House,2047,4,4,4,,London,SW12 9NZ,
145,Streathbourne Road,2150000,House,2850,5,5,5,,London,SW17 8RA,
146,Rowfant Road,1595000,House,2555,6,6,6,,London,SW17 7AP,
147,Tantallon Road,1565000,House,2088,5,5,5,,London,SW12 8DH,
148,Honeybrook Road,1500000,House,2173,5,5,5,,London,SW12 0DL,
149,Fenn Mansions,400000,Flat / Apartment,774,2,2,2,20 Love Lane,London,SE18 6GY,
150,New Providence Wharf,415000,Flat / Apartment,525,1,1,1, Canary Wharf,London,E14 9PW,
151,Enclave Court,1395000,Penthouse,1230,2,2,2,2 Dallington Street,London,EC1V 0BH,
152,Fairfax Road,2800000,House,2734,6,6,6, Chiswick,London,W4 1EN,
153,Redcliffe Gardens,1195000,Flat / Apartment,872,2,2,2,Chelsea,London,SW10 9HA,
154,Drayton Court,2750000,Flat / Apartment,1839,4,4,4,Drayton Gardens,London,SW10 9RH,
155,Lower Mall,6950000,House,5501,6,6,6,Hammersmith,London,W6 9DJ,
156,Albert Bridge Road,2750000,House,2675,4,4,4,Battersea,London,SW11 4PX,
157,Ridgway,525000,Flat / Apartment,514,2,2,2,Wimbledon,London,SW19 4SX,
158,Lowndes Square,5450000,Flat / Apartment,1920,3,3,3,,London,SW1X 9HB,
159,Basilica Mews,2325000,New development,2392,4,4,4,,Thurleigh Road,SW12 8UF,
160,Devonshire Mews South,3750000,House,3256,3,3,3,Marylebone,London,W1G 6QW,
161,Ovington Gardens,1750000,Flat / Apartment,714,2,2,2,,London,SW3 1LS,
162,Cubitt Building,750000,Flat / Apartment,604,1,1,1, Chelsea,London,SW1W 8QL,
163,Iverna Court,3150000,Flat / Apartment,1755,4,4,4,,London,W8 6TS,
164,Waleorde Road,575000,Flat / Apartment,800,2,2,2,,London,SE17 1GG,
165,Louisville Road,1250000,House,2475,6,6,6,,London,SW17 8RU,
166,Langroyd Road,1150000,House,1703,4,4,4,,London,SW17 7PL,
167,Dance Square,650000,Flat / Apartment,584,1,1,1, Clerkenwell,London,EC1V 3AN,
168,Cranbrook Road,1295000,House,1356,4,4,4,Chiswick,London,W4 2LH,
169,Buer Road,765000,Flat / Apartment,1362,3,3,3, Fulham,London,SW6 4LA,
170,Lillian Road,1100000,House,1420,3,3,3,Barnes,London,SW13 9JF,
171,Ranelagh Avenue,2350000,House,2153,4,4,4,Barnes,London,SW13 0BL,
172,Hillbrook Road,965000,House,1222,4,4,4,Tooting Bec,London,SW17  8SF,
173,Weller Court,1750000,Flat / Apartment,732,1,1,1, Holland Park,London,W11 3NT,
174,"The oTTo, Hackney",800000,New development,1119,2,2,2, Clapton,E5 8DE,E5 8DS,
175,Stuart Tower,475000,Flat / Apartment,525,1,1,1,105 Maida Vale,London,W9 1UJ,
176,Abbey Road Cross,752500,New development,874,2,2,2,131-143 Belsize Road,London,NW6 4BR,
177,Ardleigh Road,1399950,House,1748,4,4,4,,De Beauvoir,N1 4FA,
178,Clapham Common West Side,2995000,House,3406,5,5,5,Between The Commons,London,SW4 9AU,
179,Parkfield Avenue,1825000,House,2500,5,5,5,,London,SW14 8DY,
180,Sutherland House,550000,Flat / Apartment,609,2,2,2,137-139 Queenstown Road,London,SW8 3RJ,
181,Hambalt Road,1850000,House,2516,5,5,5,,London,SW4 9EL,
182,Ormond House,625000,Flat / Apartment,428,1,1,1, Westminster,London,SW1P 2TB,
183,Buckingham Gate,2290000,Flat / Apartment,1604,2,2,2,St. James's,London,SW1E 6LB,
184,Radnor Walk,3450000,House,1820,5,5,5,Chelsea,London,SW3 4BN,
185,King Henrys Road,995000,Flat / Apartment,710,2,2,2,Primrose Hill,London,NW3 3QR,
186,ICON7,450000,New development,538,1,1,1, Holloway,London,N7 0JN,
187,Montgomery Road,850000,Flat / Apartment,935,2,2,2,Chiswick,London,W4 5LZ,
188,Carlton Mansions,975000,Flat / Apartment,950,2,2,2, Maida Vale,London,W9 1NP,
189,Palace Gardens Terrace,1850000,Flat / Apartment,924,3,3,3,,London,W8 4SA,
190,Acer Road,940000,House,1074,3,3,3,Hackney,London,E8 3GX,
191,Grosvenor Avenue,1275000,House,1779,4,4,4,,London,SW14 8BT,
192,Enmore Gardens,1325000,House,1541,4,4,4,,London,SW14 8RF,
193,Grandison Road,865000,Flat / Apartment,880,2,2,2,,London,SW11 6LN,
194,Lavender Sweep,650000,Flat / Apartment,859,2,2,2,,London,SW11 1EA,
195,Hollandgreen Place,3500000,New development,1577,2,2,2,,London,W8 6AX,
196,Horsell Road,1695000,House,1944,5,5,5,Highbury,London,N5 1XP,
197,Avon Court,399995,Flat / Apartment,472,1,1,1, Canary Wharf,London,E14 7SZ,
198,Castelnau,5750000,House,4682,6,6,6,Barnes,London,SW13 9EU,
199,Lower Belgrave Street,4650000,House,2865,4,4,4,Belgravia,London,SW1W 0LN,
200,Donne Place,2800000,House,1448,3,3,3,,London,SW3 2NH,
201,Oakley Road,1100000,Flat / Apartment,1056,3,3,3,,London,N1 3LL,
202,Goldhurst House,2650000,Flat / Apartment,1811,3,3,3, Parr's Way,London,W6 9AN,
203,Telford Avenue,1575000,House,2550,5,5,5,,London,SW2 4XL,
204,Mandeville Courtyard,525000,Flat / Apartment,775,1,1,1,142 Battersea Park Road,London,SW11 4NB,
205,Tufton Street,1650000,Flat / Apartment,1099,2,2,2,Westminster,London,SW1P 3AF,
206,Colosseum Terrace,850000,Flat / Apartment,726,2,2,2,Albany Street,London,NW1 4EB,
207,Rede Place,2700000,House,1791,3,3,3,Notting Hill,London,W2 4TU,
208,Tennyson Road,695000,House,795,2,2,2,Wimbledon,London,SW19 8SH,
209,Coleford Road,1400000,House,1799,4,4,4,London,Wandsworth,SW18 1AD,
210,St. Anns Terrace,2050000,House,1293,3,3,3,St John's Wood,London,NW8 6PJ,
211,Durward Street,615000,Flat / Apartment,972,2,2,2,Whitechapel,London,E1 5BA,
212,Fairacres,1000000,Flat / Apartment,1777,3,3,3, Putney,London,SW15 5LX,
213,Clapham Park Road,315000,Flat / Apartment,526,1,1,1,,London,SW4 7EX,
214,Moore House,1850000,New development,1328,3,3,3,2 Gatliff Road,London,SW1W 8DT,
215,Graham Terrace,2895000,House,1289,3,3,3,,London,SW1W 8HN,
216,Whiston House,450000,Flat / Apartment,459,1,1,1,Bingham Court,London,N1 2DH,
217,Tooting Bec Road,675000,Flat / Apartment,949,2,2,2,,London,SW17 8BW,
218,Dance Square,650000,Flat / Apartment,583,1,1,1,Peartree Street,Clerkenwell,EC1V 3AN,
219,Flanders Road,1395000,House,1068,1,1,1,Chiswick,London,W4 1NB,
220,Astley House,725000,Flat / Apartment,858,3,3,3,42 Trinity Church Road,London,SW13 8EA,
221,Suffolk Road,2000000,House,2525,4,4,4,Barnes,London,SW13 9PH,
222,Shorrolds Road,625000,Flat / Apartment,664,2,2,2,,London,SW6 7TP,
223,Raynham Road,1350000,House,1328,3,3,3,Brackenbury Village,London,W6 0HY,
224,Henning Street,2100000,House,2191,4,4,4,Battersea,London,SW11 3DR,
225,Palewell Park,1850000,House,1892,4,4,4,,London,SW14 8JJ,
226,Cranbourne Court,1500000,Flat / Apartment,1132,3,3,3,Albert Bridge Road,London,SW11 4PE,
227,Rothwell Street,3625000,House,2190,4,4,4,Primrose Hill,London,NW1 8YH,
228,New Concordia Wharf,1500000,Flat / Apartment,1274,2,2,2,Mill Street,London,SE1 2BB,
229,Castelnau,525000,Flat / Apartment,630,2,2,2,Barnes,London,SW13 9ER,
230,Banbury House,290000,Flat / Apartment,455,1,1,1,Banbury Road,London,E9 7ED,
231,Putney Heath Lane,1725000,House,2931,5,5,5,Putney,London,SW15 3JG,
232,Rydon Street,1395000,House,1510,3,3,3,Islington,London,N1 7AL,
233,Aragon Tower,400000,Flat / Apartment,705,2,2,2,George Beard Road,Deptford,SE8 3AL,
234,Cadogan Lane,3350000,House,1504,3,3,3,,London,SW1X 9DU,
235,Cedar Mews,1795000,House,2067,4,4,4, Putney,London,SW15 6ED,
236,Tormead,600000,Flat / Apartment,1160,2,2,2, Northwood,Middlesex,HA6 2BX,
237,Kent Avenue,1500000,House,1997,4,4,4,Ealing,London,W13 8BH,
238,Trefoil Road,1600000,House,2149,4,4,4,Wandsworth,London,SW18 2EQ,
239,Thirlmere Road,1550000,House,3620,7,7,7,,London,SW16 1QW,
240,The Regency,1325000,Flat / Apartment,1195,3,3,3, Westminster,London,SW1P 4HD,
241,Murray Mews,1395000,House,1587,3,3,3,Camden,London,NW1 9RJ,
242,Wilmington Square,735000,Flat / Apartment,849,2,2,2,,London,WC1X 0ER,
243,Telfords Yard,1500000,Flat / Apartment,2550,3,3,3,,London,E1W 2BQ,
244,Landmark East Tower,679000,Flat / Apartment,832,2,2,2, Canary Wharf,London,E14 9DB,
245,Stanley Mansions,1500000,Flat / Apartment,1244,3,3,3,Park Walk,London,SW10 0AG,
246,Ducks Hill Road,1000000,New development,1501,3,3,3,Northwood,Middlesex,HA6 2SB,
247,Blomfield Road,4995000,House,3035,4,4,4,Little Venice,London,W9 2PF,
248,Wadham Road,1350000,House,1604,4,4,4,Putney,London,SW15 2LS,
249,Bingfield Street,625000,New development,723,2,2,2,,London,N1 0BH,
250,Orsman Road,600000,Flat / Apartment,660,2,2,2,Hackney,London,N1 5QL,
251,Cinnabar Wharf East,875000,Flat / Apartment,627,1,1,1,28 Wapping High Street,London,E1W 1NG,
252,Boardwalk Place,565000,Flat / Apartment,872,2,2,2,Canary Wharf,London,E14 5SH,
253,Carlyle Square,5850000,House,3128,5,5,5,,London,SW3 6EX,
254,Burlington Lodge Studios,1250000,Flat / Apartment,1201,2,2,2,48 Rigault Road,London,SW6 4JJ,
255,Overstrand Mansions,1800000,Flat / Apartment,1453,3,3,3,Prince of Wales Drive,London,SW11 4HA,
256,Eden House,1495000,New development,1781,4,4,4,New Road,London,N8 8TA,
257,Fentiman Road,3100000,House,3800,8,8,8,,London,SW8 1QA,
258,Craven Gardens,1050000,Flat / Apartment,1831,3,3,3,Wimbledon,London,SW19 8LU,
259,Leopold Road,1850000,House,2503,5,5,5,Wimbledon,London,SW19 7JG,
260,Queensland Road,730000,Flat / Apartment,1061,3,3,3,,London,N7 7FF,
261,Rowfant Road,650000,Flat / Apartment,736,2,2,2,,London,SW17 7AP,
262,Cleveland Gardens,2100000,House,2438,5,5,5,Barnes,London,SW13 0AJ,
263,Elm Bank Gardens,2250000,House,2600,5,5,5,Barnes,London,SW13 0NT,
264,Belleville Road,1695000,House,1867,5,5,5,,London,SW11 6QT,
265,Cottenham Park Road,1375000,House,1884,4,4,4,Wimbledon,London,SW20 0SB,
266,Barmouth Road,1400000,House,2138,5,5,5,Wandsworth,London,SW18 2DT,
267,St. Stephen's Gardens,635000,Flat / Apartment,927,2,2,2,Putney,London,SW15 2RR,
268,Upper St. Martin's Lane,2995000,Penthouse,1845,3,3,3,,London,WC2H 9DL,
269,Egerton Gardens,1000000,House,1758,4,4,4,,Ealing,W13 8HQ,
270,Alpine Grove,449950,Flat / Apartment,526,2,2,2,South Hackney,London,E9 7SX,
271,Townshend Court,425000,Flat / Apartment,474,1,1,1,Shannon Place,London,NW8 7DP,
272,Parkfields,1795000,House,1902,3,3,3,Putney,London,SW15 6NH,
273,Fitzroy Road,1600000,Flat / Apartment,801,2,2,2,Primrose Hill,London,NW1 8TU,
274,The Lodge,1750000,Flat / Apartment,1002,3,3,3,Kensington Park Gardens,London,W11 3HA,
275,Culmstock Road,2050000,House,2275,5,5,5,,London,SW11 6LX,
276,Mallinson Road,1150000,Flat / Apartment,1371,3,3,3,,London,SW11 1BW,
277,South Terrace,995000,House,2446,5,5,5,,London,SW7 2TB,
278,Douglas Road,1900000,House,1703,5,5,5,Islington,London,N1 2LD,
279,Union Wharf,675000,Flat / Apartment,792,1,1,1,23 Wenlock Road,London,N1 7SJ,
280,Long & Waterson Apartments,1500000,New development,1273,3,3,3, Hackney,London,E2 8HN,
281,ICON7,620000,New development,786,2,2,2, Holloway,London,N7 0JN,
282,Branch Place,650000,Flat / Apartment,747,2,2,2,De Beauvoir,London,N1 5PH,
283,Hermitage Court,500000,Flat / Apartment,663,1,1,1,Knighten Street,London,E1W 1PW,
284,Kirkstall Road,1395000,House,2006,5,5,5,,London,SW2 4HF,
285,St. Peters Square,2950000,House,3597,4,4,4,,London,W6 9AJ,
286,Carlton House,765000,New development,841,2,2,2,Carlton Drive,London,SW15 2BS,
287,Cleveland Gardens,1600000,House,1854,4,4,4,Barnes,London,SW13 0AH,
288,Abercrombie Street,975000,House,1126,3,3,3,,London,SW11 2JB,
289,Juer Street,1699999,House,2119,5,5,5,Battersea,London,SW11 4RF,
290,Foxmore Street,950000,Flat / Apartment,1294,4,4,4,Battersea,London,SW11 4PU,
291,Southwick Mews,2150000,House,1582,3,3,3,Paddington,London,W2 1JG,
292,Pall Mall,2950000,Penthouse,1840,2,2,2,St James's,London,SW1Y 5JH,
293,Britannia Road,1500000,House,1115,3,3,3,Fulham,London,SW6 2HJ,
294,Tradewinds Court,650000,Flat / Apartment,882,2,2,2,Asher Way,London,E1W 2JB,
295,Sunnyhill Road,950000,House,1700,4,4,4,,London,SW16 2UW,
296,Tantallon Road,625000,Flat / Apartment,663,2,2,2,,London,SW12 8DG,
297,Lillian Road,1575000,House,1983,4,4,4,Barnes,London,SW13 9JG,
298,Christchurch Street,2550000,House,1266,3,3,3,,London,SW3 4AR,
299,Abercrombie Street,525000,Flat / Apartment,707,2,2,2,Battersea,London,SW11 2JB,
300,Rutland Road,775000,Flat / Apartment,967,2,2,2,South Hackney,London,E9 7TT,
301,Ruvigny Gardens,3250000,House,2210,3,3,3,Putney,London,SW15 1JR,
302,Hazelwood Drive,775000,Bungalow,1459,4,4,4,Pinner,Middlesex,HA5 3TT,
303,Roseneath Road,1775000,House,2153,5,5,5,,London,SW11 6AQ,
304,Eton Avenue,3250000,House,2543,5,5,5,Hampstead,London,NW3 3HL,
305,Drapers Court,700000,Flat / Apartment,797,2,2,2,59 Lurline Gardens,London,SW11 4DF,
306,Creffield Road,595000,Flat / Apartment,760,2,2,2,,London,W5 3RP,
307,Oakhill Road,525000,Flat / Apartment,540,1,1,1,Putney,London,SW15 2QU,
308,Conway Road,2450000,House,3007,6,6,6,Wimbledon,London,SW20 8PA,
309,Henfield Road,550000,House,538,2,2,2,Wimbledon,London,SW19 3HH,
310,West Side Common,3950000,House,6186,6,6,6,Wimbledon,London,SW19 4UF,
311,Melody Road,600000,Flat / Apartment,1024,1,1,1,,London,SW18 2QF,
312,Fullerton Road,1450000,House,1984,5,5,5, Wandsworth,London,SW18 1BX,
313,Eaton Row,5750000,House,2896,3,3,3,Belgravia,London,SW1W 0JA,
314,Rutland Gardens,7500000,Flat / Apartment,1793,2,2,2,,London,SW7 1BX,
315,Park View Court,180000,Flat / Apartment,745,2,2,2, Bow,London,E3 3AN,
316,Kersfield House,210000,Studio,328,0,0,0, Putney,London,SW15 3HJ,
317,Westminster Close,1550000,House,3112,5,5,5,Northwood,Middlesex,HA6 2TG,
318,Church Road,865000,House,1292,3,3,3,,Northwood,HA6 1AR,
319,Upper Grosvenor Street,18000000,House,8315,7,7,7,Mayfair,London,W1K 2NP,
320,Thornhill Crescent,2850000,House,2857,5,5,5,Islington,London,N1 1BJ,
321,Ripplevale Grove,1150000,Flat / Apartment,1074,3,3,3,Islington,London,N1 1HT,
322,Long & Waterson Apartments,550000,Penthouse,414,1,1,1, Hackney,London,E2 8HN,
